TIPNR_ID	WIKIDATA_ID
Elah_2Ki.15.30	Q319020
Elah_1Ch.4.15	Q319020
Elah_1Ch.9.8	Q319020
Elam_Ezr.2.7	Q1147704
Elam_Gen.10.22	Q1147704
Elam_1Ch.8.24	Q1147704
Elam_1Ch.26.3	Q1147704
Elam_Neh.10.14	Q1147704
Elam_Neh.12.42	Q1147704
Elasah_Ezr.10.22	
Elasah_Jer.29.3	
Eldaah_Gen.25.4	
Eldad_Num.11.26	Q56473842
Elead_1Ch.7.21	
Eleasah_1Ch.2.39	
Eleasah_1Ch.8.37	
Eleazar_Mat.1.15	
Eleazar_Exo.6.23	
Eleazar_1Sa.7.1	
Eleazar_2Sa.23.9	
Eleazar_1Ch.23.21	
Eleazar_Ezr.8.33	
Eleazar_Ezr.10.25	
Eleazar_Neh.12.42	
Elhanan_2Sa.21.19	Q5410951
Elhanan_2Sa.23.24	Q5410951
Eli_1Sa.1.3	Q362021
Eliab_Num.1.9	
Eliab_Num.16.1	
Eliab_1Sa.16.6	
Eliab_1Ch.12.9	
Eliab_1Ch.15.18	
Eliada_2Sa.5.16	Q9252681
Eliada_1Ki.11.23	
Eliada_2Ch.17.17	Q9252681
Eliahba_2Sa.23.32	
Eliakim_Mat.1.13	
Eliakim_Luk.3.30	
Eliakim_2Ki.18.18	
Eliakim_Neh.12.41	
Eliam_2Sa.11.3	
Eliam_2Sa.23.34	
Eliasaph_Num.1.14	
Eliasaph_Num.3.24	
Eliashib_1Ch.3.24	
Eliashib_1Ch.24.12	
Eliashib_Ezr.10.6	
Eliashib_Ezr.10.24	
Eliashib_Ezr.10.27	
Eliashib_Ezr.10.36	
Eliashib_Neh.3.1	
Eliashib_Neh.12.10	
Eliashib_Neh.13.4	
Eliathah_1Ch.25.4	
Elidad_Num.34.21	
Eliehoenai_1Ch.26.3	
Eliehoenai_Ezr.8.4	
Eliel_1Ch.5.24	
Eliel_1Ch.8.20	
Eliel_1Ch.8.22	
Eliel_1Ch.11.46	
Eliel_1Ch.11.47	
Eliel_1Ch.12.11	
Eliel_1Ch.15.9	
Eliel_2Ch.31.13	
Elienai_1Ch.8.20	
Eliezer_Luk.3.29	
Eliezer_Gen.15.2	
Eliezer_Exo.18.4	
Eliezer_1Ch.7.8	
Eliezer_1Ch.15.24	
Eliezer_1Ch.27.16	
Eliezer_2Ch.20.37	
Eliezer_Ezr.8.16	
Eliezer_Ezr.10.18	
Eliezer_Ezr.10.23	
Eliezer_Ezr.10.31	
Elihoreph_1Ki.4.3	
Elihu_1Sa.1.1	Q471388
Elihu_1Ch.12.20	Q471388
Elihu_1Ch.26.7	Q471388
Elihu_1Ch.27.18	Q471388
Elihu_Job.32.2	Q471388
Elijah_1Ki.17.1	
Elijah_1Ch.8.27	
Elijah_Ezr.10.21	Q133507
Elijah_Ezr.10.26	
Elika_2Sa.23.25	
Elimelech_Rut.1.2	
Elioenai_1Ch.3.23	
Elioenai_1Ch.4.36	
Elioenai_1Ch.7.8	
Elioenai_Ezr.10.22	
Elioenai_Ezr.10.27	
Elioenai_Neh.12.41	
Eliphal_1Ch.11.35	
Eliphaz_Gen.36.4	
Eliphaz_Job.2.11	
Eliphelehu_1Ch.15.18	
Eliphelet_2Sa.5.16	
Eliphelet_2Sa.23.34	
Eliphelet_1Ch.3.6	
Eliphelet_1Ch.8.39	
Eliphelet_Ezr.8.13	
Eliphelet_Ezr.10.33	
Elisha_1Ki.19.16	
Elishah_Gen.10.4	Q1330627
Elishama_Num.1.10	Q10271944
Elishama_2Sa.5.16	Q10271944
Elishama_2Ki.25.25	Q10271944
Elishama_1Ch.2.41	Q10271944
Elishama_2Ch.17.8	Q10271944
Elishama_Jer.36.12	Q10271944
Elishaphat_2Ch.23.1	
